coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
Caution.NA	2e-04	0.0629	0.1506	7e-04	0.0067	
CautionParentsouEnfants	0.6471	0.322	1.4456	0.0446	4e-04	
MoyenEmploiAutre	0.6149	0.0363	1.9955	0.0027	0.0015	
MoyenEmploiDemarchePersos	0.2012	0.1032	1.4373	0.0141	0.0298	
MoyenEmploiFamille	0.0141	0.2214	8e-04	0.0129	0.0446	
MoyenEmploi.NA	1.8593	0.3855	3.9962	0.0328	0.5069	
MoyenEmploiRelationsPersos	0.475	0.0197	0.0084	0.2185	0.7089	
EntretienConjointAbsent	0.7988	0.3644	0.1878	0.0908	0.3545	
EntretienConjointPresent	3.4574	1.5774	0.813	0.3928	1.5344	
EntretienEnfantsAbsents	0.6283	0.2205	0.6248	0.0281	0.0142	
EntretienEnfantsPresents	5.1998	1.8245	5.1708	0.2322	0.1171	
EntretienParentsAbsents	0.2873	0.0205	0.1306	0	0.0525	
EntretienParentsPresents	4.0853	0.2916	1.8564	1e-04	0.7461	
EntretienAutreFamilleAbsents	0.0281	0.009	0.1243	0.0043	0.0071	
EntretienAutreFamillePresents	0.7542	0.2417	3.3359	0.1148	0.1902	
PbArgentFamilleAv18Ans_Non	0.1406	0.0895	0.0714	0.0373	0.0577	
PbArgentFamilleAv18Ans_Nspp	0.0031	0	0.0227	0.0302	0.0349	
PbArgentFamilleAv18Ans_Oui	0.3951	0.2447	0.1746	0.085	0.135	
Jamais	1.0892	1.2599	1.2595	0.1359	0.6157	
Parfois	0.0263	0.0613	0.0189	0.1804	0.1414	
Souvent	1.1465	1.4703	0.7952	5e-04	0.1523	
-moitié	4e-04	0.003	0.0662	0.0427	0.0545	
+moitié	0.0063	0.1751	0.0052	0.0468	0.002	
moit-moit	0.0223	0.5606	0.0986	0.045	0.0097	
Enfants_1	1.9684	1.1292	2.1196	4.8718	14.1071	
Enfants_2	5.2122	6.6229	0.5334	0.2156	20.1692	
Enfants_3	2.0252	0.9752	6.1804	30.303	3.6214	
Enfants_4	0.8248	0.2693	12.844	9.3792	0.2725	
Enfants.NA	8.396	5.6026	0.2609	0.0327	0.0387	
AppartenanceAsociationPaysOrigine_Membre	1.0431	1.5444	0.7261	0.014	0.9562	
AppartenanceAsociationPaysOrigine.NA	0.1487	0.6269	0.0158	0.592	1.7616	
AppartenanceAsociationPaysOrigine_PasMembre	0.0809	1.016	0.4633	2.3109	5.0096	
Emprunteur	3.5445	0.9648	2.0319	0.1022	0.0125	
NonEmprunteur	2.6216	0.7136	1.5029	0.0756	0.0092	
AppartenancAssociationSolidarite_Membre	1.08	3.3431	0.0064	0.7128	4.6303	
AppartenancAssociationSolidarite_PasMembre	0.061	0.1888	4e-04	0.0402	0.2614	
AideVersEtranger.NA	2.6607	3.3595	0.1116	2e-04	0.0225	
AideVersEtranger_Non	4.5323	8.2178	2.6923	0.0337	0.1543	
AideVersEtranger_Oui	10.5502	10.1166	0.2769	0.0184	0.0109	
AmisMemeOrigine.NA	0.3044	0.3793	0.2744	0.2316	1.1036	
-moitie	0.2483	0.38	0.9741	0.9694	1.5204	
+moitie	0.0122	0.1232	0.373	0.5647	0.7137	
moitie-moitie	0.0601	0.0113	0.2323	0.0179	0.0062	
NSP	0.0617	0.0344	0.2811	0	0.0062	
AideaPersonneExterieure_Non	2.6607	3.3595	0.1116	2e-04	0.0225	
AideaPersonneExterieure_Oui	14.4897	18.2952	0.6077	0.0011	0.1228	
NbLogement_1	2.1074	4.2029	2.1383	0.5393	0.2426	
NbLogement_2	1.7883	2.4811	1.7168	0.0176	1.0344	
NbLogement_3	0.1152	0.3331	2.0899	5.2655	12.6955	
NbLogement_4	1.7252	4.5485	0.7396	0.5319	20.6084	
NbLogement_5	0.3872	0.6853	5.9557	31.5522	2.5307	
NbLogement_6	0.0035	0.8607	17.7424	7.133	1.0175	
AidDevoirAssoNon	0.0209	0.0723	0.3782	0.0478	0.0316	
AideDevoirAsso.NA	0.2633	0.1762	7.0913	1.9282	0.3945	
AideDevoirAssoOui	0.4131	0.3862	0.5043	0.0046	0.6222	
35h à 50h	0.0155	0.0073	6e-04	0.0024	0.0405	
de 50h à 60h	0.0141	0.0109	1e-04	0.0177	0.0694	
+ de 60h	0.018	0.0214	1e-04	0.038	0.0125	
Moins de 35h	0.0029	7e-04	0.0027	0.0024	0.0149	
NbHeuresTravail.NA	1e-04	1e-04	0	1e-04	3e-04	

cos2
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	0.0111	0.0043	0.0028	2e-04	5e-04	
AidesRecuesOui	0.0111	0.0043	0.0028	2e-04	5e-04	
AideAdminFamilleNon	0.0096	0.0054	0.0845	0.0076	0.004	
AideAdminFamilleOui	0.0096	0.0054	0.0845	0.0076	0.004	
EmpruntFamilleNon	0	3e-04	0.0013	0.0019	0.0017	
EmpruntFamilleOui	0	3e-04	0.0013	0.0019	0.0017	
GardeFamilleNon	0.168	0.1758	0.005	0	0.0023	
GardeFamilleOui	0.168	0.1758	0.005	0	0.0023	
CatuionNonFamilleOuAmis	0.0133	4e-04	0.0059	2e-04	8e-04	
CautionFamilleAutreOuAmis	3e-04	0.0105	0	1e-04	5e-04	
Caution.NA	0	0.0123	0.0267	1e-04	0.001	
CautionParentsouEnfants	0.0157	0.007	0.0286	7e-04	0	
MoyenEmploiAutre	0.0185	0.001	0.049	1e-04	0	
MoyenEmploiDemarchePersos	0.0059	0.0027	0.0345	3e-04	6e-04	
MoyenEmploiFamille	3e-04	0.0049	0	2e-04	7e-04	
MoyenEmploi.NA	0.0709	0.0132	0.1243	8e-04	0.0128	
MoyenEmploiRelationsPersos	0.0127	5e-04	2e-04	0.0039	0.0125	
EntretienConjointAbsent	0.0991	0.0407	0.019	0.0076	0.029	
EntretienConjointPresent	0.0991	0.0407	0.019	0.0076	0.029	
EntretienEnfantsAbsents	0.1357	0.0429	0.11	0.0041	0.002	
EntretienEnfantsPresents	0.1357	0.0429	0.11	0.0041	0.002	
EntretienParentsAbsents	0.1018	0.0065	0.0377	0	0.0123	
EntretienParentsPresents	0.1018	0.0065	0.0377	0	0.0123	
EntretienAutreFamilleAbsents	0.0182	0.0053	0.0657	0.0019	0.003	
EntretienAutreFamillePresents	0.0182	0.0053	0.0657	0.0019	0.003	
PbArgentFamilleAv18Ans_Non	0.012	0.0069	0.005	0.0021	0.0032	
PbArgentFamilleAv18Ans_Nspp	1e-04	0	4e-04	5e-04	5e-04	
PbArgentFamilleAv18Ans_Oui	0.0125	0.007	0.0045	0.0018	0.0028	
Jamais	0.0374	0.0389	0.0352	0.0031	0.014	
Parfois	8e-04	0.0018	5e-04	0.0039	0.003	
Souvent	0.0445	0.0514	0.0252	0	0.0039	
-moitié	0	1e-04	0.0014	8e-04	0.001	
+moitié	4e-04	0.0104	3e-04	0.0021	1e-04	
moit-moit	7e-04	0.0152	0.0024	9e-04	2e-04	
Enfants_1	0.056	0.0289	0.0492	0.0933	0.265	
Enfants_2	0.1477	0.169	0.0123	0.0041	0.3774	
Enfants_3	0.0511	0.0221	0.1271	0.5141	0.0603	
Enfants_4	0.0198	0.0058	0.2511	0.1512	0.0043	
Enfants.NA	0.4181	0.2512	0.0106	0.0011	0.0013	
AppartenanceAsociationPaysOrigine_Membre	0.0254	0.0339	0.0144	2e-04	0.0154	
AppartenanceAsociationPaysOrigine.NA	0.0152	0.0575	0.0013	0.0406	0.1185	
AppartenanceAsociationPaysOrigine_PasMembre	0.0023	0.0261	0.0108	0.0443	0.0942	
Emprunteur	0.1435	0.0352	0.0671	0.0028	3e-04	
NonEmprunteur	0.1435	0.0352	0.0671	0.0028	3e-04	
AppartenancAssociationSolidarite_Membre	0.0266	0.074	1e-04	0.0118	0.0752	
AppartenancAssociationSolidarite_PasMembre	0.0266	0.074	1e-04	0.0118	0.0752	
AideVersEtranger.NA	0.3992	0.4538	0.0136	0	0.0022	
AideVersEtranger_Non	0.1143	0.1865	0.0553	6e-04	0.0026	
AideVersEtranger_Oui	0.2665	0.2301	0.0057	3e-04	2e-04	
AmisMemeOrigine.NA	0.0081	0.0091	0.006	0.0042	0.0194	
-moitie	0.0097	0.0134	0.0312	0.0256	0.0394	
+moitie	4e-04	0.0036	0.0099	0.0124	0.0154	
moitie-moitie	0.0017	3e-04	0.0052	3e-04	1e-04	
NSP	0.0015	7e-04	0.0054	0	1e-04	
AideaPersonneExterieure_Non	0.3992	0.4538	0.0136	0	0.0022	
