  ;eigenvalue;percentage of variance;cumulative percentage of variance;
dim 1;0.158611886611575;8.96501967804553;8.96501967804553
dim 2;0.131088917286038;7.40937358573259;16.3743932637781
dim 3;0.104240431337445;5.89185046689904;22.2662437306772
dim 4;0.0981650779443265;5.54846092728802;27.8147046579652
dim 5;0.0920723434876451;5.20408897973646;33.0187936377016
dim 6;0.086687299446228;4.89971692522158;37.9185105629232
dim 7;0.0840534785194254;4.75084878588057;42.6693593488038
dim 8;0.0815261709703702;4.60800096789049;47.2773603166943
dim 9;0.0794642490689864;4.49145755607314;51.7688178727674
dim 10;0.0772634405033428;4.36706402844981;56.1358819012172

