coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
EmpruntNon	1.2108	3.5022	0.0028	0.0019	0.0139	
EmpruntOui	10.5619	30.551	0.0247	0.017	0.1212	
Aucun_dip	0.0302	0.1279	5.7232	3.0746	8e-04	
Bac+2	0.0198	0.078	1.1022	2.8497	1.0701	
Bac_gen	0.0045	0.0644	2.2278	2.0387	1.831	
Bac_techno_pro	0.0438	0.1907	0.0185	1.6442	0.1659	
BEPC	0.0124	0.0536	0.2467	0.3561	0.0374	
CAP_BEP	0.4659	0.1088	1.2369	4.8454	0.0387	
CEP	0.0192	0.0513	1.8832	1.2215	0.3204	
DIPLO_PI.NA	0.0593	0.0778	2.6439	6.2623	2.1267	
Sup_Bac+2	0.5977	0.9514	9.7926	0.0128	0.1746	
EmpruntAmi_Non	6.1022	10.2675	0.0393	0.6685	0.2404	
EmpruntAmi_Oui	0.213	0.3584	0.0014	0.0233	0.0084	

cos2
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	0.001	0.0164	0.0191	0.0054	0.0125	
AidesRecuesOui	0.001	0.0164	0.0191	0.0054	0.0125	
AideAdminFamilleNon	0.0015	0.0201	0.0614	0.1159	0.0222	
AideAdminFamilleOui	0.0015	0.0201	0.0614	0.1159	0.0222	
EmpruntFamilleNon	0.1509	0.5384	0	0.0074	2e-04	
EmpruntFamilleOui	0.1509	0.5384	0	0.0074	2e-04	
GardeFamilleNon	0.0017	0.0059	3e-04	0.2384	0.0726	
GardeFamilleOui	0.0017	0.0059	3e-04	0.2384	0.0726	
PbArgentFamilleAv18Ans_Non	0.0238	0.0047	0.0749	0.0064	0.0093	
PbArgentFamilleAv18Ans_Nspp	3e-04	0	0.0021	3e-04	0	
PbArgentFamilleAv18Ans_Oui	0.0251	0.0049	0.0714	0.006	0.0093	
CFEJamais	0.0736	0.0113	0.0489	0.1167	0.0029	
CFEParfois	5e-04	0.0036	0.0109	2e-04	0.0168	
CFESouvent	0.0782	0.0243	0.0133	0.1157	0.029	
+ dune fois	0.003	0.0084	0.0333	0.1156	0.1639	
pas du tout	0.0061	0.0075	0.0266	0.1402	0.1187	
une fois	4e-04	5e-04	0.0033	3e-04	0.022	
AppartenanceAsociationPaysOrigine_Membre	0.0574	0.0046	0.0192	0.0292	0.2915	
AppartenanceAsociationPaysOrigine.NA	0.0724	0.0151	0.3442	0.0038	0.0271	
AppartenanceAsociationPaysOrigine_PasMembre	0.0267	0.0094	0.3162	6e-04	0.0123	
Emprunteur	0.0175	0.0029	0.0083	0.2224	0.025	
NonEmprunteur	0.0175	0.0029	0.0083	0.2224	0.025	
AppartenancAssociationSolidarite_Membre	0.09	0.0203	0.1883	0.0116	0.1168	
AppartenancAssociationSolidarite_PasMembre	0.09	0.0203	0.1883	0.0116	0.1168	
AideVersEtranger.NA	0.6491	0.2105	0.0699	0.0197	0.0204	
AideVersEtranger_Non	0.2276	0.0792	0.0519	0.1431	0.0957	
AideVersEtranger_Oui	0.3754	0.1151	0.017	0.0343	0.013	
AmisMemeOrigine.NA	0.0025	8e-04	0.0475	0.0248	0.0747	
-moitie	0.004	0	0.2117	0.0108	0.1162	
+moitie	0.0016	6e-04	0.0687	3e-04	0.2156	
moitie-moitie	0.001	0	0.0085	0	0.0209	
NSP	0.0028	0	1e-04	0.0068	8e-04	
AideaPersonneExterieure_Non	0.6491	0.2105	0.0699	0.0197	0.0204	
AideaPersonneExterieure_Oui	0.6491	0.2105	0.0699	0.0197	0.0204	
EmpruntNon	0.2626	0.6871	4e-04	3e-04	0.0017	
EmpruntOui	0.2626	0.6871	4e-04	3e-04	0.0017	
Aucun_dip	8e-04	0.0031	0.1057	0.0552	0	
Bac+2	5e-04	0.0018	0.0191	0.048	0.0151	
Bac_gen	1e-04	0.0015	0.0384	0.0342	0.0258	
Bac_techno_pro	0.0011	0.0043	3e-04	0.0274	0.0023	
BEPC	3e-04	0.0012	0.0042	0.0059	5e-04	
CAP_BEP	0.013	0.0027	0.0239	0.0911	6e-04	
CEP	4e-04	0.0011	0.0302	0.0191	0.0042	
DIPLO_PI.NA	0.0013	0.0016	0.0416	0.0957	0.0273	
Sup_Bac+2	0.0162	0.0233	0.1837	2e-04	0.0027	
EmpruntAmi_Non	0.1409	0.2144	6e-04	0.0104	0.0031	
EmpruntAmi_Oui	0.1409	0.2144	6e-04	0.0104	0.0031	

v.test
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	-4.7129	-18.8729	20.3753	-10.8036	16.4963	
AidesRecuesOui	4.7129	18.8729	-20.3753	10.8036	-16.4963	
AideAdminFamilleNon	-5.636	-20.9007	-36.555	-50.2188	-21.9709	
AideAdminFamilleOui	5.636	20.9007	36.555	50.2188	21.9709	
EmpruntFamilleNon	-57.3044	-108.2414	0.951	12.723	2.0689	
EmpruntFamilleOui	57.3044	108.2414	-0.951	-12.723	-2.0689	
