  ;eigenvalue;percentage of variance;cumulative percentage of variance;
dim 1;0.101197383330404;4.95221237574297;4.95221237574297
dim 2;0.0911205984975441;4.45909311796476;9.41130549370773
dim 3;0.0825058428205247;4.03751996781276;13.4488254615205
dim 4;0.0680644813380724;3.33081504420342;16.7796405057239
dim 5;0.0668018206485958;3.26902526578223;20.0486657715061
dim 6;0.0612501899539212;2.99734972114922;23.0460154926554
dim 7;0.0608284102549389;2.97670943800753;26.0227249306629
dim 8;0.057009691578732;2.78983597087401;28.8125609015369
dim 9;0.05578245995119;2.72977995505813;31.542340856595
dim 10;0.0532332659952315;2.605032165724;34.147373022319

