Dim 1
quali
   	R2	p.value	
NbLogement_3	-0.1312	0	
Sup	-0.6986	0	
No_sup	-0.5651	0	
AideDevoirAssoOui	-0.5623	0	
AidDevoirAssoNon	-0.6574	0	
NbLogement_4	-0.1471	0	
Emprunteur	-0.0879	0	
Enfants_2	-0.2395	0	
Enfants_1	-0.2175	0	
AideAdminFamilleNon	-0.1692	0	

Dim 3
quali
   	R2	p.value	
ContactFamilleEtranger	0.0749	0	
AppartenanceAsociationPaysOrigine	0.1049	0	
AppartenancAssociationSolidarite	0.1116	0	
AideVersEtranger	0.7183	0	
AideaPersonneExterieure	0.7172	0	
NbLogement	0.1241	0	
EtudesSuperieures	0.0605	0	
Enfants	0.0547	0	
PrepareRepas	0.0295	0	
GardeFamille	0.0271	0	
Caution	0.0247	0	
AmisMemeOrigine	0.0247	0	
MoyenEmploi	0.0197	0	
EntretienConjointPresent	0.0171	0	
FreqRencontreFamille	0.0159	0	
EntretienEnfantsPresents	0.0138	0	
EntretienParentsPresents	0.0081	0	
PbArgentFamilleAv18Ans	0.0055	0	
AideAdminFamille	0.004	0	
Pretbancaire	0.0032	0	
AidesRecues	0.0024	0	
EntretienAutreFamillePresents	0.0023	0	
AideDevoirAsso	0.0016	0	
NbHeuresTravail	0.0017	0	
EmpruntFamille	2e-04	0.0329	

category
   	Estimate	p.value	
NbLogement_1	0.2188	0	
AideaPersonneExterieure_Oui	0.3444	0	
AideVersEtranger_Oui	0.255	0	
AideVersEtranger_Non	0.204	0	
AppartenancAssociationSolidarite_Membre	0.2187	0	
Souvent	0.1	0	
AppartenanceAsociationPaysOrigine_Membre	0.1555	0	
GardeFamilleNon	0.0706	0	
Enfants.NA	0.0949	0	
EntretienConjointAbsent	0.0493	0	
-moitie	0.0707	0	
EntretienEnfantsAbsents	0.0559	0	
NbLogement_2	0.0682	0	
0	0.0579	0	
MoyenEmploiAutre	0.0665	0	
Sup	0.1157	0	
moit-moit	0.0512	0	
EntretienParentsAbsents	0.0534	0	
CautionFamilleAutreOuAmis	0.1118	0	
AideAdminFamilleNon	0.0341	0	
Emprunteur	0.0169	0	
AidesRecuesOui	0.0296	0	
MoyenEmploiDemarchePersos	0.03	0	
EntretienAutreFamilleAbsents	0.0376	0	
AideDevoirAssoOui	0.038	0	
moitie-moitie	0.0238	0	
Enfants_1	0.0215	0	
PbArgentFamilleAv18Ans_Oui	0.0443	2e-04	
AppartenanceAsociationPaysOrigine_PasMembre	0.0179	2e-04	
Enfants_4	0.0287	0.002	
MoyenEmploiRelationsPersos	0.0153	0.0023	
AidDevoirAssoNon	0.0168	0.0028	
EmpruntFamilleOui	0.0083	0.0329	
de 50h à 60h	0.1586	0.045	
EmpruntFamilleNon	-0.0083	0.0329	
PbArgentFamilleAv18Ans_Nspp	-0.0397	0.015	
NSP	-0.0269	0.0061	
-moitié	-0.0118	0.0036	
NbHeuresTravail.NA	-0.1758	1e-04	
Parfois	-0.0116	1e-04	
+moitie	-0.0206	0	
AideDevoirAsso.NA	-0.0549	0	
NbLogement_6	-0.0323	0	
MoyenEmploi.NA	-0.0247	0	
EntretienAutreFamillePresents	-0.0376	0	
AidesRecuesNon	-0.0296	0	
EtudesSuperieures.NA	-0.0717	0	
NbLogement_3	-0.0277	0	
NonEmprunteur	-0.0169	0	
No_sup	-0.044	0	
AmisMemeOrigine.NA	-0.0471	0	
AideAdminFamilleOui	-0.0341	0	
MoyenEmploiFamille	-0.0871	0	
Enfants_3	-0.0802	0	
EntretienParentsPresents	-0.0534	0	
+moitié	-0.0394	0	
Enfants_2	-0.0648	0	
Femme	-0.0562	0	
EntretienEnfantsPresents	-0.0559	0	
EntretienConjointPresent	-0.0493	0	
Caution.NA	-0.1214	0	
GardeFamilleOui	-0.0706	0	
NbLogement_5	-0.1223	0	
NbLogement_4	-0.1047	0	
Jamais	-0.0884	0	
AideaPersonneExterieure_Non	-0.3444	0	
AideVersEtranger.NA	-0.459	0	
AppartenancAssociationSolidarite_PasMembre	-0.2187	0	
AppartenanceAsociationPaysOrigine.NA	-0.1733	0	

Dim 4
quali
   	R2	p.value	
MoyenEmploi	0.0705	0	
EntretienParentsPresents	0.0704	0	
Enfants	0.3226	0	
NbLogement	0.4496	0	
AideDevoirAsso	0.2256	0	
EtudesSuperieures	0.2651	0	
EntretienAutreFamillePresents	0.051	0	
Caution	0.0475	0	
PrepareRepas	0.0387	0	
AideVersEtranger	0.0236	0	
AideaPersonneExterieure	0.0218	0	
AppartenanceAsociationPaysOrigine	0.0188	0	
AmisMemeOrigine	0.0153	0	
ContactFamilleEtranger	0.0136	0	
EntretienEnfantsPresents	0.0128	0	
EmpruntFamille	0.0115	0	
FreqRencontreFamille	0.0083	0	
Pretbancaire	0.0076	0	
AppartenancAssociationSolidarite	0.0062	0	
AidesRecues	0.0058	0	
GardeFamille	0.005	0	
AideAdminFamille	0.0047	0	
NbHeuresTravail	0.0011	1e-04	
PbArgentFamilleAv18Ans	8e-04	3e-04	
EntretienConjointPresent	4e-04	0.004	

category
   	Estimate	p.value	
No_sup	0.359	0	
AideDevoirAssoOui	0.3867	0	
AidDevoirAssoNon	0.2402	0	
NbLogement_6	0.1785	0	
NbLogement_5	0.3327	0	
Enfants_3	0.375	0	
EntretienParentsPresents	0.1395	0	
Sup	0.2078	0	
EntretienAutreFamillePresents	0.1582	0	
MoyenEmploi.NA	0.0829	0	
Femme	0.0741	0	
AideaPersonneExterieure_Oui	0.0532	0	
Caution.NA	0.1003	0	
0	0.062	0	
moitie-moitie	0.0757	0	
EntretienEnfantsPresents	0.0475	0	
EmpruntFamilleOui	0.0545	0	
AppartenanceAsociationPaysOrigine_Membre	0.0904	0	
AideVersEtranger_Oui	0.0631	0	
Souvent	0.034	0	
+moitié	0.034	0	
NonEmprunteur	0.023	0	
AppartenancAssociationSolidarite_Membre	0.0457	0	
MoyenEmploiFamille	0.076	0	
AidesRecuesNon	0.0408	0	
Enfants_4	0.0768	0	
GardeFamilleOui	0.0268	0	
AideAdminFamilleOui	0.0327	0	
CautionFamilleAutreOuAmis	0.068	0	
-moitie	0.014	1e-04	
+ de 60h	0.1817	0.0039	
EntretienConjointAbsent	0.0065	0.004	
PbArgentFamilleAv18Ans_Oui	0.028	0.0069	
PbArgentFamilleAv18Ans_Non	0.017	0.0221	
NbHeuresTravail.NA	-0.1003	0.0142	
Moins de 35h	-0.16	0.0139	
EntretienConjointPresent	-0.0065	0.004	
PbArgentFamilleAv18Ans_Nspp	-0.045	0.0019	
moit-moit	-0.0105	7e-04	
AmisMemeOrigine.NA	-0.0168	4e-04	
+moitie	-0.0142	2e-04	
AppartenanceAsociationPaysOrigine_PasMembre	-0.0223	0	
-moitié	-0.0235	0	
NSP	-0.0587	0	
MoyenEmploiRelationsPersos	-0.0374	0	
Égalité	-0.0369	0	
AideAdminFamilleNon	-0.0327	0	
GardeFamilleNon	-0.0268	0	
AidesRecuesOui	-0.0408	0	
AppartenancAssociationSolidarite_PasMembre	-0.0457	0	
Emprunteur	-0.023	0	
MoyenEmploiDemarchePersos	-0.0499	0	
Jamais	-0.0379	0	
EmpruntFamilleNon	-0.0545	0	
NbLogement_4	-0.0416	0	
EntretienEnfantsAbsents	-0.0475	0	
Homme	-0.0992	0	
MoyenEmploiAutre	-0.0716	0	
AppartenanceAsociationPaysOrigine.NA	-0.0681	0	
AideVersEtranger.NA	-0.0707	0	
AideaPersonneExterieure_Non	-0.0532	0	
CautionParentsouEnfants	-0.1702	0	
Enfants_2	-0.0959	0	
EntretienAutreFamilleAbsents	-0.1582	0	
Enfants.NA	-0.1177	0	
EtudesSuperieures.NA	-0.5668	0	
AideDevoirAsso.NA	-0.6269	0	
NbLogement_3	-0.1487	0	
NbLogement_2	-0.1743	0	
NbLogement_1	-0.1465	0	
Enfants_1	-0.2381	0	
EntretienParentsAbsents	-0.1395	0	

